央视&卫视,#genre#
宜宾公共,http://192.168.9.1:5141/rtp/239.10.0.81:5140$成都单播
乐山新闻,http://192.168.9.1:5141/rtp/239.10.0.62:5140$成都单播
乐山公共,http://192.168.9.1:5141/rtp/239.10.0.63:5140$成都单播
眉山综合,http://192.168.9.1:5141/rtp/239.10.0.66:5140$成都单播
眉山公共,http://192.168.9.1:5141/rtp/239.10.0.67:5140$成都单播
仁寿综合,http://192.168.9.1:5141/rtp/239.10.0.36:5140$成都单播
内江综合,http://192.168.9.1:5141/rtp/239.10.0.71:5140$成都单播
内江公共,http://192.168.9.1:5141/rtp/239.10.0.72:5140$成都单播
内江科教,http://192.168.9.1:5141/rtp/239.10.0.73:5140$成都单播
巴中综合,http://192.168.9.1:5141/rtp/239.10.0.52:5140$成都单播
巴中公共,http://192.168.9.1:5141/rtp/239.10.0.53:5140$成都单播
达州新闻,http://192.168.9.1:5141/rtp/239.10.0.54:5140$成都单播
达州公共,http://192.168.9.1:5141/rtp/239.10.0.55:5140$成都单播
德阳新闻,http://192.168.9.1:5141/rtp/239.10.0.56:5140$成都单播
德阳公共,http://192.168.9.1:5141/rtp/239.10.0.57:5140$成都单播
广安新闻,http://192.168.9.1:5141/rtp/239.10.0.58:5140$成都单播
广安公共,http://192.168.9.1:5141/rtp/239.10.0.59:5140$成都单播
广元综合,http://192.168.9.1:5141/rtp/239.10.0.60:5140$成都单播
广元公共,http://192.168.9.1:5141/rtp/239.10.0.61:5140$成都单播
遂宁综合,http://192.168.9.1:5141/rtp/239.10.0.76:5140$成都单播
遂宁公共,http://192.168.9.1:5141/rtp/239.10.0.77:5140$成都单播
阿坝汉语,http://192.168.9.1:5141/rtp/239.10.0.50:5140$成都单播
资阳新闻,http://192.168.9.1:5141/rtp/239.10.0.82:5140$成都单播
成铁电视,http://192.168.9.1:5141/rtp/239.11.0.191:5140$成都单播
攀枝花新闻综合,http://192.168.9.1:5141/rtp/239.10.0.74:5140$成都单播
攀枝花公共频道,http://192.168.9.1:5141/rtp/239.10.0.75:5140$成都单播
泸州1台,http://192.168.9.1:5141/rtp/239.10.0.46:5140$成都单播
泸州2台,http://192.168.9.1:5141/rtp/239.10.0.47:5140$成都单播
泸州3台,http://192.168.9.1:5141/rtp/239.10.0.48:5140$成都单播
雅安新闻综合,http://192.168.9.1:5141/rtp/239.10.0.78:5140$成都单播
雅安公共频道,http://192.168.9.1:5141/rtp/239.10.0.79:5140$成都单播
甘孜新闻综合,http://192.168.9.1:5141/rtp/239.10.0.32:5140$成都单播
安多卫视,http://192.168.9.1:5141/rtp/239.11.0.124:5140$成都单播
直播中国,#genre#
成都熊猫塔,https://gccncc.v.wscdns.com/gc/lhszjsp_1/index.m3u8
峨眉山云海日出,https://gccncc.v.wscdns.com/gc/emsarm_1/index.m3u8
浙江杭州千岛湖,https://gccncc.v.wscdns.com/gc/caqdh_1/index.m3u8
鸣沙山山门,https://gcalic.v.myalicdn.com/gc/dhyyqst_1/index.m3u8
玉龙雪山,https://gcalic.v.myalicdn.com/gc/ylxs11_1/index.m3u8
